18.3333 	WARNING 	Font Manager failed to load file /System/Library/PrivateFrameworks/FontServices.framework/Resources/Reserved/PingFangUI.ttc
28.3790 	DATA 	[STRUCTURE] Logging initialized. Log file: logs/experiment_20250527_233330.log
28.3791 	DATA 	Starting experiment
48.7897 	DATA 	[INFO] Subject info collected: ID=1, domain=Money, valence=Loss
48.8054 	WARNING 	Monitor specification not found. Creating a temporary one...
48.8562 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
50.4275 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

50.5119 	DATA 	[STRUCTURE] Running right-hand calibration
50.5312 	WARNING 	t of last frame was 103.88ms (=1/9)
50.5321 	DATA 	[STRUCTURE] Starting calibration for right key using LEFT hand
51.9472 	DATA 	Keypress: space
51.9579 	WARNING 	t of last frame was 1426.73ms (=1/0)
53.1589 	DATA 	Keypress: right
53.1647 	WARNING 	t of last frame was 1206.79ms (=1/0)
54.1692 	WARNING 	t of last frame was 1004.50ms (=1/0)
54.7937 	DATA 	Keypress: right
54.9361 	DATA 	Keypress: right
55.0529 	DATA 	Keypress: right
55.1747 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
55.1980 	DATA 	Keypress: right
55.3461 	DATA 	Keypress: right
55.4671 	DATA 	Keypress: right
55.5718 	DATA 	Keypress: right
55.6807 	DATA 	[STRUCTURE] Calibration started - Duration: 2s
55.7218 	DATA 	Keypress: right
55.8451 	DATA 	Keypress: right
55.9740 	DATA 	Keypress: right
56.1055 	DATA 	Keypress: right
56.2265 	DATA 	Keypress: right
56.3492 	DATA 	Keypress: right
56.4889 	DATA 	Keypress: right
56.6081 	DATA 	Keypress: right
56.7461 	DATA 	Keypress: right
56.8738 	DATA 	Keypress: right
56.9932 	DATA 	Keypress: right
57.1401 	DATA 	Keypress: right
57.2591 	DATA 	Keypress: right
57.3782 	DATA 	Keypress: right
57.5224 	DATA 	Keypress: right
57.6405 	DATA 	Keypress: right
57.6885 	DATA 	[STRUCTURE] Calibration completed - Final count: 16
57.7728 	DATA 	Keypress: right
57.9127 	DATA 	Keypress: right
58.8670 	DATA 	Keypress: space
58.8679 	DATA 	[DATA] Right-key clicks: 16
58.8679 	DATA 	[STRUCTURE] Running left-hand calibration
58.8885 	DATA 	[STRUCTURE] Starting calibration for left key using LEFT hand
60.5302 	DATA 	Keypress: v
60.7398 	DATA 	Keypress: left
60.8897 	DATA 	Keypress: left
61.0356 	DATA 	Keypress: left
61.1655 	DATA 	Keypress: left
61.3023 	DATA 	Keypress: left
61.8427 	DATA 	Mouse: Left button down, pos=(715,484)
62.0410 	DATA 	Mouse:  Left button up, pos=(715,484)
62.3483 	DATA 	Keypress: v
62.3503 	DATA 	Keypress: space
65.3032 	DATA 	Keypress: left
65.4170 	DATA 	Keypress: left
65.5432 	DATA 	Keypress: left
65.6655 	DATA 	Keypress: left
65.7676 	DATA 	Keypress: left
65.8762 	DATA 	[STRUCTURE] Calibration started - Duration: 2s
65.8919 	DATA 	Keypress: left
66.1071 	DATA 	Keypress: left
66.2244 	DATA 	Keypress: left
66.3279 	DATA 	Keypress: left
66.4282 	DATA 	Keypress: left
66.5398 	DATA 	Keypress: left
66.6410 	DATA 	Keypress: left
66.7558 	DATA 	Keypress: left
66.8622 	DATA 	Keypress: left
66.9891 	DATA 	Keypress: left
67.1122 	DATA 	Keypress: left
67.4919 	DATA 	Keypress: left
67.6110 	DATA 	Keypress: left
67.7288 	DATA 	Keypress: left
67.8408 	DATA 	Keypress: left
67.8780 	DATA 	[STRUCTURE] Calibration completed - Final count: 15
67.9609 	DATA 	Keypress: left
68.0816 	DATA 	Keypress: left
68.7018 	DATA 	Keypress: space
68.7023 	DATA 	[DATA] Left-key clicks: 15
68.7023 	DATA 	[DATA] Hard clicks required: 24
69.9726 	DATA 	Keypress: space
69.9729 	DATA 	[STRUCTURE] Skipping practice trials
69.9729 	DATA 	[STRUCTURE] Running main experimental trials
78.3844 	DATA 	Keypress: left
78.6359 	DATA 	Keypress: space
79.1896 	DATA 	Keypress: space
79.3729 	DATA 	Keypress: space
79.7536 	DATA 	Keypress: space
79.9383 	DATA 	Keypress: space
80.1061 	DATA 	Keypress: space
80.2552 	DATA 	Keypress: space
80.3987 	DATA 	Keypress: space
80.5316 	DATA 	Keypress: space
80.6893 	DATA 	Keypress: space
80.8464 	DATA 	Keypress: space
80.9984 	DATA 	Keypress: space
81.1546 	DATA 	Keypress: space
81.3131 	DATA 	Keypress: space
81.4586 	DATA 	Keypress: space
81.5921 	DATA 	Keypress: space
81.8393 	DATA 	Keypress: space
82.0551 	DATA 	Keypress: space
82.2060 	DATA 	Keypress: space
82.3649 	DATA 	Keypress: space
82.5253 	DATA 	Keypress: space
82.6928 	DATA 	Keypress: space
82.8588 	DATA 	Keypress: space
83.0130 	DATA 	Keypress: space
83.1727 	DATA 	Keypress: space
83.3460 	DATA 	Keypress: space
83.5129 	DATA 	Keypress: space
83.6728 	DATA 	Keypress: space
83.8460 	DATA 	Keypress: space
84.1626 	DATA 	Keypress: space
84.3295 	DATA 	Keypress: space
84.4818 	DATA 	Keypress: space
84.6413 	DATA 	Keypress: space
84.8128 	DATA 	Keypress: space
84.9526 	DATA 	Keypress: space
