17.1604 	WARNING 	Font Manager failed to load file /System/Library/PrivateFrameworks/FontServices.framework/Resources/Reserved/PingFangUI.ttc
23.6994 	DATA 	[STRUCTURE] Logging initialized. Log file: logs/experiment_20250527_234644.log
23.6994 	DATA 	Starting experiment
34.9921 	DATA 	[INFO] Subject info collected: ID=1, domain=Food, valence=Gain
35.0028 	WARNING 	Monitor specification not found. Creating a temporary one...
35.0629 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
36.5531 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

36.6177 	DATA 	[STRUCTURE] Running right-hand calibration
36.6384 	WARNING 	t of last frame was 85.44ms (=1/11)
36.6395 	DATA 	[STRUCTURE] Starting calibration for right key using LEFT hand
37.5308 	DATA 	Keypress: space
37.5380 	WARNING 	t of last frame was 899.61ms (=1/1)
38.5718 	WARNING 	t of last frame was 1033.83ms (=1/0)
39.5776 	WARNING 	t of last frame was 1005.78ms (=1/0)
40.5875 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
41.2315 	DATA 	Keypress: right
41.2333 	DATA 	[STRUCTURE] Calibration started - Duration: 2s
41.3015 	DATA 	Keypress: right
41.4385 	DATA 	Keypress: right
41.5880 	DATA 	Keypress: right
41.7214 	DATA 	Keypress: right
41.8722 	DATA 	Keypress: right
42.0206 	DATA 	Keypress: right
42.1591 	DATA 	Keypress: right
42.2926 	DATA 	Keypress: right
42.4369 	DATA 	Keypress: right
42.5626 	DATA 	Keypress: right
42.7094 	DATA 	Keypress: right
42.8455 	DATA 	Keypress: right
42.9870 	DATA 	Keypress: right
43.1201 	DATA 	Keypress: right
43.2378 	DATA 	[STRUCTURE] Calibration completed - Final count: 14
43.2571 	DATA 	Keypress: right
43.3802 	DATA 	Keypress: right
44.0231 	DATA 	Keypress: space
44.0246 	DATA 	[DATA] Right-key clicks: 14
44.0247 	DATA 	[STRUCTURE] Running left-hand calibration
44.0451 	DATA 	[STRUCTURE] Starting calibration for left key using LEFT hand
45.1317 	DATA 	Keypress: space
48.5929 	DATA 	Keypress: left
48.6562 	DATA 	[STRUCTURE] Calibration started - Duration: 2s
48.7869 	DATA 	Keypress: left
48.9215 	DATA 	Keypress: left
49.0704 	DATA 	Keypress: left
49.2388 	DATA 	Keypress: left
49.3873 	DATA 	Keypress: left
49.5372 	DATA 	Keypress: left
49.6896 	DATA 	Keypress: left
49.8394 	DATA 	Keypress: left
49.9870 	DATA 	Keypress: left
50.1548 	DATA 	Keypress: left
50.3063 	DATA 	Keypress: left
50.4550 	DATA 	Keypress: left
50.5919 	DATA 	Keypress: left
50.6593 	DATA 	[STRUCTURE] Calibration completed - Final count: 13
50.7695 	DATA 	Keypress: left
50.9331 	DATA 	Keypress: left
52.8670 	DATA 	Keypress: space
52.8676 	DATA 	[DATA] Left-key clicks: 13
52.8676 	DATA 	[DATA] Hard clicks required: 21
53.9801 	DATA 	Keypress: space
53.9804 	DATA 	[STRUCTURE] Skipping practice trials
53.9804 	DATA 	[STRUCTURE] Running main experimental trials
84.0135 	DATA 	Keypress: left
85.8534 	DATA 	Keypress: space
85.9861 	DATA 	Keypress: space
86.1441 	DATA 	Keypress: space
86.2467 	DATA 	Keypress: space
86.4292 	DATA 	Keypress: space
86.5861 	DATA 	Keypress: space
86.7304 	DATA 	Keypress: space
86.8943 	DATA 	Keypress: space
87.0461 	DATA 	Keypress: space
87.1941 	DATA 	Keypress: space
87.3540 	DATA 	Keypress: space
87.4940 	DATA 	Keypress: space
87.6628 	DATA 	Keypress: space
87.8275 	DATA 	Keypress: space
87.9803 	DATA 	Keypress: space
88.1402 	DATA 	Keypress: space
88.3133 	DATA 	Keypress: space
88.4879 	DATA 	Keypress: space
88.6296 	DATA 	Keypress: space
88.8041 	DATA 	Keypress: space
88.9707 	DATA 	Keypress: space
89.1298 	DATA 	Keypress: space
89.3029 	DATA 	Keypress: space
89.4630 	DATA 	Keypress: space
89.6299 	DATA 	Keypress: space
89.7976 	DATA 	Keypress: space
89.9632 	DATA 	Keypress: space
90.1465 	DATA 	Keypress: space
90.2902 	DATA 	Keypress: space
90.4442 	DATA 	Keypress: space
90.6072 	DATA 	Keypress: space
95.5342 	DATA 	Keypress: left
97.3442 	DATA 	Keypress: space
97.5110 	DATA 	Keypress: space
97.6712 	DATA 	Keypress: space
97.8162 	DATA 	Keypress: space
97.9703 	DATA 	Keypress: space
98.1275 	DATA 	Keypress: space
98.2876 	DATA 	Keypress: space
98.4542 	DATA 	Keypress: space
98.6029 	DATA 	Keypress: space
98.7630 	DATA 	Keypress: space
98.9366 	DATA 	Keypress: space
99.1075 	DATA 	Keypress: space
99.2782 	DATA 	Keypress: space
99.4444 	DATA 	Keypress: space
99.6232 	DATA 	Keypress: space
99.7943 	DATA 	Keypress: space
99.9609 	DATA 	Keypress: space
100.1656 	DATA 	Keypress: space
100.3112 	DATA 	Keypress: space
100.4570 	DATA 	Keypress: space
100.6129 	DATA 	Keypress: space
100.7779 	DATA 	Keypress: space
100.9443 	DATA 	Keypress: space
101.1234 	DATA 	Keypress: space
101.3110 	DATA 	Keypress: space
101.6543 	DATA 	Keypress: space
101.8355 	DATA 	Keypress: space
102.0069 	DATA 	Keypress: space
102.1876 	DATA 	Keypress: space
102.3567 	DATA 	Keypress: space
102.5396 	DATA 	Keypress: space
106.5708 	DATA 	Keypress: right
108.5581 	DATA 	Keypress: space
108.7776 	DATA 	Keypress: space
108.9210 	DATA 	Keypress: space
109.5040 	DATA 	Keypress: right
109.6774 	DATA 	Keypress: right
109.8441 	DATA 	Keypress: right
109.9969 	DATA 	Keypress: right
110.1562 	DATA 	Keypress: right
110.3297 	DATA 	Keypress: right
110.5107 	DATA 	Keypress: right
110.6707 	DATA 	Keypress: right
110.8373 	DATA 	Keypress: right
110.9963 	DATA 	Keypress: right
111.2207 	DATA 	Keypress: right
111.4741 	DATA 	Keypress: left
111.6278 	DATA 	Keypress: left
111.7875 	DATA 	Keypress: left
111.9631 	DATA 	Keypress: left
112.1274 	DATA 	Keypress: left
112.2732 	DATA 	Keypress: left
112.4276 	DATA 	Keypress: left
112.6049 	DATA 	Keypress: left
112.7460 	DATA 	Keypress: left
112.9208 	DATA 	Keypress: left
118.5587 	DATA 	Keypress: escape
