77.6159 	DATA 	Keypress: right
77.7614 	DATA 	Keypress: right
77.9756 	DATA 	Keypress: right
78.1343 	DATA 	Keypress: right
78.2156 	DATA 	Keypress: right
78.3755 	DATA 	Keypress: right
78.5245 	DATA 	Keypress: right
78.9156 	DATA 	Keypress: left
79.0847 	DATA 	Keypress: left
79.2343 	DATA 	Keypress: left
79.3676 	DATA 	Keypress: left
79.5280 	DATA 	Keypress: left
79.6823 	DATA 	Keypress: left
79.8345 	DATA 	Keypress: left
79.9822 	DATA 	Keypress: left
80.1245 	DATA 	Keypress: left
80.2677 	DATA 	Keypress: left
80.4415 	DATA 	Keypress: left
91.9888 	DATA 	Keypress: space
91.9894 	DATA 	[STRUCTURE] Running main experimental trials
96.6174 	DATA 	Keypress: left
98.1323 	ERROR 	Error during main experiment: run_easy_task() missing 1 required positional argument: 'trial_num'
98.1358 	DATA 	[STRUCTURE] Data saved to /Users/jesusangelperezsanchez/Desktop/decision_lab/psychopy_decision_task/data/1_M_L_1_PARTIAL.csv with 3 trials
98.1358 	DATA 	[STRUCTURE] Partial data saved to /Users/jesusangelperezsanchez/Desktop/decision_lab/psychopy_decision_task/data/1_M_L_1_PARTIAL.csv - Reason: Error during main experiment
98.1358 	ERROR 	Unexpected error: run_easy_task() missing 1 required positional argument: 'trial_num'
98.1360 	DATA 	[STRUCTURE] Data saved to /Users/jesusangelperezsanchez/Desktop/decision_lab/psychopy_decision_task/data/1_M_L_1_PARTIAL.csv with 3 trials
98.1360 	DATA 	[STRUCTURE] Partial data saved to /Users/jesusangelperezsanchez/Desktop/decision_lab/psychopy_decision_task/data/1_M_L_1_PARTIAL.csv - Reason: Unexpected error: run_easy_task() missing 1 required positional argument: 'trial_num'
