17.9586 	WARNING 	Font Manager failed to load file /System/Library/PrivateFrameworks/FontServices.framework/Resources/Reserved/PingFangUI.ttc
22.7138 	DATA 	[STRUCTURE] Logging initialized. Log file: logs/experiment_20250527_182441.log
22.7138 	DATA 	Starting experiment
34.1744 	WARNING 	Monitor specification not found. Creating a temporary one...
34.2007 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
35.6260 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

35.6858 	DATA 	[STRUCTURE] Running right-hand calibration
35.7075 	WARNING 	t of last frame was 81.66ms (=1/12)
35.7082 	DATA 	[STRUCTURE] Starting calibration for right key using LEFT hand
36.6670 	DATA 	Keypress: space
36.6740 	WARNING 	t of last frame was 966.49ms (=1/1)
37.7261 	WARNING 	t of last frame was 1052.15ms (=1/0)
38.8516 	DATA 	Keypress: right
38.8578 	WARNING 	t of last frame was 1131.65ms (=1/0)
38.9866 	DATA 	Keypress: right
39.1503 	DATA 	Keypress: right
39.3217 	DATA 	Keypress: right
39.7239 	DATA 	Keypress: right
39.8639 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
40.3698 	DATA 	[STRUCTURE] Calibration started - Duration: 2s
40.3825 	DATA 	Keypress: right
40.3828 	DATA 	[DATA] Key press: right - count now: 1
40.5719 	DATA 	Keypress: right
40.5754 	DATA 	[DATA] Key press: right - count now: 2
40.7206 	DATA 	Keypress: right
40.7211 	DATA 	[DATA] Key press: right - count now: 3
40.8604 	DATA 	Keypress: right
40.8711 	DATA 	[DATA] Key press: right - count now: 4
41.0039 	DATA 	Keypress: right
41.0044 	DATA 	[DATA] Key press: right - count now: 5
41.1393 	DATA 	Keypress: right
41.1431 	DATA 	[DATA] Key press: right - count now: 6
41.2722 	DATA 	Keypress: right
41.2728 	DATA 	[DATA] Key press: right - count now: 7
41.3922 	DATA 	Keypress: right
41.3927 	DATA 	[DATA] Key press: right - count now: 8
41.5042 	DATA 	Keypress: right
41.5048 	DATA 	[DATA] Key press: right - count now: 9
41.6373 	DATA 	Keypress: right
41.6378 	DATA 	[DATA] Key press: right - count now: 10
41.7764 	DATA 	Keypress: right
41.7768 	DATA 	[DATA] Key press: right - count now: 11
41.9054 	DATA 	Keypress: right
41.9057 	DATA 	[DATA] Key press: right - count now: 12
42.0544 	DATA 	Keypress: right
42.0547 	DATA 	[DATA] Key press: right - count now: 13
42.1879 	DATA 	Keypress: right
42.1885 	DATA 	[DATA] Key press: right - count now: 14
42.2579 	DATA 	Keypress: right
42.2719 	DATA 	[DATA] Key press: right - count now: 15
42.3715 	DATA 	[STRUCTURE] Calibration completed - Final count: 15
42.3846 	DATA 	Keypress: right
42.5214 	DATA 	Keypress: right
43.1041 	DATA 	Keypress: space
43.1051 	DATA 	[DATA] Right-key clicks: 15
43.1051 	DATA 	[STRUCTURE] Running left-hand calibration
43.1252 	DATA 	[STRUCTURE] Starting calibration for left key using LEFT hand
43.6182 	DATA 	Keypress: space
47.0964 	DATA 	Keypress: left
